,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,年,降水量(mm),気温(℃),風向・風速(m/s),日照時間(h),雪(寒候年・cm),,,,,,,,,,,,,
1,合計,日最大,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪の合計,日降雪の最大,最深積雪,,,,,,,
2,1時間,10分間,日平均,日最高,日最低,風速,風向,風速,風向,,,,,,,,,,
3,1978,107 ],16 ],4 ],///,0.4 ],2.4 ],-1.8 ],13.4 ],-9.7 ],8.2 ],22 ],北北西,///,///,170.6 ],///,///,///
4,1979,687,34,8,///,5.8,8.5,3.5,28.3,-15.9 ],7.5,30,西北西,///,///,2084.8,///,///,///
5,1980,675,26,13,///,5.2,7.5,2.9,23.9 ],-16.0,7.6,28,///,///,///,1836.0,///,///,///
6,1981,904,79,13,///,5.1,7.4,3.0,28.4,-12.9,7.9,26,西南西,///,///,1737.0,///,///,///
7,1982,711,57,13,///,6.0,8.6,3.6,30.2,-15.1,7.5,30,西北西,///,///,1943.6,///,///,///
8,1983,799,65,16,///,4.9,7.1,2.7,25.4,-15.0,7.5,23 ],北西,///,///,1832.9,///,///,///
9,1984,686,45,13,///,5.5,8.0 ],3.4 ],27.7,-13.3,7.5,32,///,///,///,2152.8,///,///,///
10,1985,913,59,34,///,5.2,7.5,3.1,27.6,-16.3,7.1,23,北北西,///,///,2055.8,///,///,///
11,1986,622,36,7,///,4.9,7.1,2.5,27.2,-17.1,7.8,24,///,///,///,1974.0,///,///,///
12,1987,917,52,24,///,5.7 ],8.9 ],4.0 ],25.1,-13.8 ],7.9,23,西北西,///,///,845.5 ],///,///,///
13,1988,832,63,17,///,5.3,7.5,3.1,29.1,-13.1,7.6,22,西北西,///,///,1442.1,///,///,///
14,1989,999,60,15,///,6.7,9.1,4.4,30.3,-10.7,7.2,23,西北西,///,///,1574.3,///,///,///
15,1990,1078,80,27,///,7.5,9.9,5.2,28.0,-13.4,7.1,21,///,///,///,1558.4,///,///,///
16,1991,805,78,13,///,6.7,8.9,4.4,25.6,-10.9,7.4,22,西北西,///,///,1465.8,///,///,///
17,1992,978,79,19,///,5.9,8.3,3.7,26.0,-10.3,7.4,22,西,///,///,1177.7,///,///,///
18,1993,622,42,7,///,5.8,8.0,3.7,24.7,-9.9 ],7.7,26,北西,///,///,1199.8,///,///,///
19,1994,854,65,27,///,6.4 ],8.7 ],4.1 ],29.7,-12.5,7.9,24,西北西,///,///,1401.2,///,///,///
20,1995,864,60,24 ],///,7.0,9.3,4.6,27.3,-11.5,6.9,27,西南西,///,///,1458.2,///,///,///
21,1996,874,79,45,///,5.4,7.7,3.2,24.1,-14.7,7.6,24,北西,///,///,1241.1,///,///,///
22,1997,1106,116,37,///,6.3,8.6,4.1,27.5,-10.8,7.5,20,西北西,///,///,1302.5,///,///,///
23,1998,777,57,16 ],///,6.9 ],9.5 ],4.5 ],25.5,-13.9 ],7.5,23,西北西,///,///,1347.5,///,///,///
24,1999,1007,66,22,///,6.5,8.9,4.1,29.8,-15.5,7.7,25,西北西,///,///,1427.1,///,///,///
25,2000,775,67,37,///,6.0,8.2,3.9,31.9,-14.8,7.4,23,西北西,///,///,1203.8,///,///,///
26,2001,803,58,11,///,5.4,7.8,3.1,25.4,-16.4,7.7,23,北西,///,///,1355.0,///,///,///
27,2002,947,58,16,///,6.4,8.8,4.0,28.0,-11.1,7.5,25,西,///,///,1438.1,///,///,///
28,2003,633,98,30,///,6.2,8.9,3.6,23.9,-12.9,7.2,23,南西,///,///,1502.0,///,///,///
29,2004,794,61,14,///,7.2,9.9,4.4,27.6,-9.6,7.9,30,西北西,///,///,1562.8,///,///,///
30,2005,774,59,27,///,6.5,9.0,3.9,27.6,-15.2,7.4,28,西北西,///,///,1527.3,///,///,///
31,2006,748,46,20 ],///,6.4,8.9,3.9,27.5,-13.3,7.4,22,西北西,///,///,1399.1,///,///,///
32,2007,769,85,30,///,6.4,8.9,3.7,28.2,-10.6,7.2,23,西北西,///,///,1538.2,///,///,///
33,2008,683.5,30.0,18.0,13.0 ],6.4,9.1,3.7,26.3,-13.3,7.1,26.7,北西,35.7 ],北西,1461.5,///,///,///
34,2009,833.0 ],44.5 ],12.0 ],5.0 ],5.8 ],8.5 ],3.3 ],25.3,-11.2,7.5 ],23.5 ],北北東,31.1 ],北北東,1267.1 ],///,///,///
35,2010,854.0,49.5,17.5,9.5,7.0,9.8,4.3,29.2,-14.8,7.5,23.8,西南西,33.5,西南西,1325.1 ],///,///,///
36,2011,770.5,47.5,15.5,8.0,6.7,9.4,4.1,27.2,-11.0,7.5,22.3,西北西,31.0,東,1444.4,///,///,///
37,2012,824.0,79.5,14.0,7.5,6.1,8.7,3.5,29.7,-14.0,7.4,28.7,北西,37.4,北西,1249.4,///,///,///
38,2013,721.5,55.0,21.5,9.0,6.6,9.2,4.0,28.4,-13.3,7.7,29.1,西北西,35.1,西北西,1309.6,///,///,///
39,2014,836.5,97.0,24.0,11.5,6.5,9.3,3.7,28.2,-12.2,7.6,26.0,西北西,34.3,東,1617.2,///,///,///
40,2015,823.0,115.5,15.0,6.5,7.2,9.9,4.6,28.1,-10.5,7.7,28.4,南西,41.2,南西,1389.8,///,///,///
