,0,1,2,3,4
0,,冬(前年12月-2月),春(3-5月),夏(6-8月),秋(9-11月)
1,1898年,-0.90,-1.70,-0.52,-0.67
2,1899年,-0.26,-0.20,-0.60,-2.12
3,1900年,-1.35,-1.09,-1.11,-0.41
4,1901年,-0.74,-0.89,-1.26,-0.87
5,1902年,-1.65,-0.86,-2.20,-0.43
6,1903年,+0.74,-0.19,-1.50,-0.92
7,1904年,-1.37,-0.75,-0.15,-1.68
8,1905年,-0.55,-1.45,-1.38,-0.85
9,1906年,-0.84,-1.10,-1.25,-1.58
10,1907年,-0.92,-1.18,-1.29,-1.02
11,1908年,-1.61,-1.42,-1.29,-1.82
12,1909年,-1.40,-1.22,-0.57,-1.05
13,1910年,-1.00,-1.45,-0.95,-1.19
14,1911年,-1.33,-0.68,-0.83,-0.39
15,1912年,-0.32,-0.80,-1.15,-2.08
16,1913年,-1.46,-1.28,-1.89,-1.81
17,1914年,-0.39,-0.22,-0.13,-0.28
18,1915年,-0.53,-1.79,-0.35,+0.31
19,1916年,+0.29,-1.42,+0.36,+0.17
20,1917年,-1.07,-1.67,-0.79,-1.01
21,1918年,-1.82,-1.29,-0.51,-0.86
22,1919年,-1.18,-0.65,-0.85,-0.48
23,1920年,-0.69,-0.94,-0.02,-0.36
24,1921年,-0.71,-1.04,-0.94,-1.54
25,1922年,-0.96,-0.94,+0.15,-0.34
26,1923年,-1.76,-0.54,-0.67,-0.42
27,1924年,-0.82,-1.48,-0.20,-1.32
28,1925年,-1.51,-1.81,-0.50,-0.30
29,1926年,-0.57,-1.73,-1.11,-1.31
30,1927年,-1.76,-1.31,-0.19,-0.85
31,1928年,-0.86,-0.64,-0.82,+0.10
32,1929年,-1.68,-1.54,-0.07,-1.00
33,1930年,+0.10,+0.10,+0.30,-1.09
34,1931年,-1.27,-1.32,-1.30,-0.50
35,1932年,+0.03,-1.16,-0.65,-1.03
36,1933年,-1.16,-1.19,+0.57,-0.74
37,1934年,-1.18,-1.53,-0.47,-1.39
38,1935年,-0.15,-0.82,-0.95,-0.70
39,1936年,-2.04,-2.00,-0.44,-0.43
40,1937年,+0.37,-0.71,-0.05,-0.44
41,1938年,-1.57,+0.11,-0.24,-0.65
42,1939年,-1.54,-1.17,-0.05,+0.02
43,1940年,-1.53,-1.22,-0.68,-0.37
44,1941年,-0.06,-0.74,-1.44,-0.90
45,1942年,-1.18,-0.30,+0.27,-0.99
46,1943年,-1.53,-1.54,-0.06,-0.51
47,1944年,-1.30,-1.77,+0.07,-0.63
48,1945年,-2.99,-1.69,-1.33,-0.65
49,1946年,-1.06,-1.00,+0.44,+0.09
50,1947年,-1.39,-1.77,-0.76,-1.35
51,1948年,-1.02,-0.32,-0.05,-0.32
52,1949年,+1.29,-1.46,-0.85,-0.86
53,1950年,-0.09,-0.28,+0.17,-0.67
54,1951年,-0.96,-0.77,-0.43,-1.01
55,1952年,-0.42,-0.69,-0.62,-0.48
56,1953年,-1.29,-0.83,-0.68,-0.80
57,1954年,+0.55,-0.34,-1.63,-0.49
58,1955年,-0.27,-0.14,+0.53,-0.81
59,1956年,-0.42,-0.33,-0.90,-0.41
60,1957年,-0.98,-1.02,-0.89,-0.92
61,1958年,+0.21,-0.44,-0.44,-0.66
62,1959年,+0.70,+0.44,-0.39,+0.06
63,1960年,+0.07,-0.44,-0.12,-0.02
64,1961年,-1.29,+0.16,+0.59,+0.93
65,1962年,-0.25,-0.39,-0.30,-0.56
66,1963年,-1.25,-0.14,-0.33,-0.97
67,1964年,-0.20,+0.34,-0.24,-0.80
68,1965年,-0.36,-1.74,-0.69,-0.99
69,1966年,-0.24,-0.27,-0.79,-0.46
70,1967年,-1.46,+0.22,+0.25,-0.77
71,1968年,-1.75,-0.48,-0.56,-0.97
72,1969年,+0.30,-0.61,-0.79,-0.88
73,1970年,-1.20,-1.35,-0.48,-0.22
74,1971年,-0.79,-0.81,-0.31,-1.10
75,1972年,+0.49,-0.18,-0.31,-0.63
76,1973年,+0.68,-0.15,0.00,-0.99
77,1974年,-1.25,-0.54,-0.91,-1.14
78,1975年,-1.06,-0.54,-0.14,+0.26
79,1976年,-0.28,-0.48,-1.05,-1.68
80,1977年,-2.00,-0.30,-0.34,+0.45
81,1978年,-0.60,-0.51,+1.10,-0.54
82,1979年,+0.94,-0.75,+0.20,+0.22
83,1980年,-0.27,-0.57,-1.03,-0.53
84,1981年,-1.21,-0.78,-0.50,-1.56
85,1982年,-0.65,+0.14,-0.93,-0.18
86,1983年,-0.16,+0.45,-1.00,-0.64
87,1984年,-2.00,-2.03,+0.66,-0.74
88,1985年,-0.92,-0.06,+0.02,-0.29
89,1986年,-1.94,-0.72,-0.79,-1.00
90,1987年,+0.08,-0.19,-0.17,-0.10
91,1988年,-0.14,-0.60,-0.66,-1.04
92,1989年,+0.92,+0.07,-0.54,-0.03
93,1990年,+0.64,+0.42,+0.81,+0.87
94,1991年,+0.62,+0.51,+0.20,-0.08
95,1992年,+0.66,-0.01,-0.61,-0.46
96,1993年,+0.96,-0.78,-1.53,-0.50
97,1994年,+0.11,+0.15,+1.13,+0.75
98,1995年,+0.12,0.00,-0.04,-0.34
99,1996年,-0.62,-1.15,-0.28,-0.39
100,1997年,+0.14,+0.36,-0.20,-0.16
101,1998年,+0.50,+1.56,+0.03,+0.91
102,1999年,+0.42,+0.38,+0.56,+0.99
103,2000年,-0.02,-0.13,+0.80,+0.47
104,2001年,-0.52,+0.36,+0.47,-0.25
105,2002年,+0.44,+1.31,+0.12,-0.76
106,2003年,-0.35,+0.13,-0.89,+0.45
107,2004年,+0.65,+0.68,+0.84,+0.79
108,2005年,+0.18,-0.40,+0.50,+0.78
109,2006年,-0.74,-0.28,+0.33,+0.55
110,2007年,+1.27,+0.06,+0.33,+0.73
111,2008年,-0.08,+0.41,+0.17,+0.41
112,2009年,+1.08,+0.59,-0.26,+0.05
113,2010年,+0.56,-0.48,+1.41,+0.77
114,2011年,-0.06,-0.73,+0.85,+0.96
115,2012年,-0.86,+0.05,+0.51,+0.69
116,2013年,-0.81,+0.10,+1.09,+0.62
117,2014年,-0.06,+0.28,+0.52,+0.22
118,2015年,0.00,+1.34,+0.25,+0.26
119,2016年,+1.01,,,
